ACUR,"Acura Pharmaceuticals, Inc. - Common Stock"
ACW,Accuride Corporation Common Stock
ACWI,iShares MSCI ACWI Index Fund
ACWV,iShares MSCI All Country World Minimum Volatility Index Fund
ACWX,iShares MSCI ACWI ex US Index Fund
ACXM,Acxiom Corporation - Common Stock
ACY,AeroCentury Corp. Common Stock
ADAT,Authentidate Holding Corp. - Common Stock
ADBE,Adobe Systems Incorporated - Common Stock
ADC,Agree Realty Corporation Common Stock
ADEP,"Adept Technology, Inc. - Common Stock"
ADES,"Advanced Emissions Solutions, Inc. - Common Stock"
ADGE,American DG Energy Inc. Common Stock
ADHD,Alcobra Ltd. - Ordinary Shares
ADI,"Analog Devices, Inc. - Common Stock"
ADK,Adcare Health Systems Inc Common Stock (GA)
ADM,Archer-Daniels-Midland Company Common Stock
ADMP,Adamis Pharmaceuticals Corporation - Common Stock
ADNC,"Audience, Inc. - Common Stock"
ADP,"Automatic Data Processing, Inc. - Common Stock"
ADRA,BLDRS Asia 50 ADR Index Fund
ADRD,BLDRS Developed Markets 100 ADR Index Fund
ADRE,BLDRS Emerging Markets 50 ADR Index Fund
ADRU,BLDRS Europe 100 ADR Index Fund
ADS,Alliance Data Systems Corporation Common Stock
ADSK,"Autodesk, Inc. - Common Stock"
ADT,ADT Corporation Common Stock
ADTN,"ADTRAN, Inc. - Common Stock"
ADUS,Addus HomeCare Corporation - Common Stock
ADVS,"Advent Software, Inc. - Common Stock"
ADX,Adams Express Company (The)
ADXS,"Advaxis, Inc. - Common Stock"
ADZ,DB Agriculture Short ETN DB Agriculture Short ETN
AE,"Adams Resources & Energy, Inc. Common Stock"
AEB,AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands)
AEC,Associated Estates Realty Corporation Common Stock
AED,AEGON N.V. Perp. Cap. Securities (Netherlands)
AEE,Ameren Corporation Common Stock
AEF,Aegon NV Perpetual Cap Securities (Netherlands)
AEG,AEGON N.V. Common Stock
AEGN,Aegion Corp - Class A Common Stock
AEGR,"Aegerion Pharmaceuticals, Inc. - Common Stock"
AEH,AEGON N.V. Perp. Cap Secs.
AEHR,Aehr Test Systems - Common Stock
AEIS,"Advanced Energy Industries, Inc. - Common Stock"
AEK,Aegon NV 8.00% Non-Cumulative Subordinated Notes due 2042
AEL,American Equity Investment Life Holding Company Common Stock
AEM,Agnico Eagle Mines Limited Common Stock
AEO,"American Eagle Outfitters, Inc. Common Stock"
AEP,"American Electric Power Company, Inc. Common Stock"
AEPI,AEP Industries Inc. - Common Stock
AER,Aercap Holdings N.V. Ordinary Shares
AERI,"Aerie Pharmaceuticals, Inc. - Common Stock"
AES,The AES Corporation Common Stock
AET,Aetna Inc. Common Stock
AETI,"American Electric Technologies, Inc. - Common Stock"
AEY,"ADDvantage Technologies Group, Inc. - Common Stock"
AEZS,AEterna Zentaris Inc. - Common Stock
AF,Astoria Financial Corporation Common Stock
AFA,"American Financial Group, Inc. 5.75% Senior Notes due 2042"
AFAM,Almost Family Inc - Common Stock
AFB,AllianceBernstein National Municipal Income Fund Inc
AFC,"Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15, 2047"
AFCB,Athens Bancshares Corporation - Common Stock
AFFX,"Affymetrix, Inc. - Common Stock"
AFG,"American Financial Group, Inc. Common Stock"
AFH,"Atlas Financial Holdings, Inc. - Ordinary Shares"
AFK,Market Vectors-Africa Index ETF
AFL,AFLAC Incorporated Common Stock
AFM,"Affiliated Managers Group, Inc. 5.250% Senior Notes due 2022"
AFOP,"Alliance Fiber Optic Products, Inc. - Common Stock"
AFQ,"American Financial Group, Inc. 7% Senior Notes due 2050"
AFSD,"Aflac Incorporated 5.50% Subordinated Debentures due September 15, 2052"
AFSI,"AmTrust Financial Services, Inc. - Common Stock"
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock
AFW,"American Financial Group, Inc. 6 3/8% Senior Notes due 2042"
AG,First Majestic Silver Corp. Ordinary Shares (Canada)
AGA,DB Agriculture Short ETN DB Agriculture Double Short ETN
AGC,Advent Claymore Convertible Securities and Income Fund Common Shares of Beneficial Interest
AGCO,AGCO Corporation Common Stock
AGD,Alpine Global Dynamic Dividend Fund Shares of Beneficial Interest
AGEN,Agenus Inc. - Common Stock
AGF,DB Agriculture Long ETN DB Agriculture Long ETN
AGG,iShares Core Total U.S. Bond Market ETF
AGI,Alamos Gold Inc Ordinary Shares
AGII,"Argo Group International Holdings, Ltd. - Common Stock"
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock"
AGLS,Accuvest Global Long Short ETF
AGM,Federal Agricultural Mortgage Corporation Common Stock
AGN,"Allergan, Inc. Common Stock"
AGNC,American Capital Agency Corp. - Common Stock
AGND,WisdomTree Barclays U.S. Aggregate Bond Negative Duration Fund
AGO,Assured Guaranty Ltd. Common Stock
AGOL,ETFS Asian Gold Trust
AGQ,ProShares Ultra Silver
AGRO,Adecoagro S.A. Common Shares
AGU,Agrium Inc. Common Stock
AGX,"Argan, Inc. Common Stock"
AGYS,"Agilysys, Inc. - Common Stock"
AGZ,iShares  Agency Bond ETF
AGZD,WisdomTree Barclays U.S. Aggregate Bond Zero Duration Fund
AHC,A.H. Belo Corporation Common Stock
AHGP,"Alliance Holdings GP, L.P. - Common Units Representing Limited Partner Interests"
AHH,"Armada Hoffler Properties, Inc. Common Stock"
AHL,Aspen Insurance Holdings Limited Ordinary Shares
AHP,"Ashford Hospitality Prime, Inc. Common Stock"
AHPI,"Allied Healthcare Products, Inc. - Common Stock"
AHS,AMN Healthcare Services Inc AMN Healthcare Services Inc
AHT,Ashford Hospitality Trust Inc Common Stock
AI,Arlington Asset Investment Corp Class A (new)
AIA,iShares Asia 50 ETF
AIB,Apollo Investment Corporation 6.625% Senior Notes due 2042
AIF,Apollo Tactical Income Fund Inc. Common Stock
AIG,"American International Group, Inc. New Common Stock"
AIMC,Altra Industrial Motion Corp. - Common Stock
AIN,Albany International Corporation Common Stock
AINV,Apollo Investment Corporation - Closed End Fund
AIQ,"Alliance HealthCare Services, Inc. - Common Stock"
AIR,AAR Corp. Common Stock
AIRI,Air Industries Group Common Stock
AIRM,Air Methods Corporation - Common Stock
AIRR,First Trust RBA American Industrial Renaissance ETF
AIRT,"Air T, Inc. - Common Stock"
AIT,"Applied Industrial Technologies, Inc. Common Stock"
AIV,Apartment Investment and Management Company Common Stock
AIW,Arlington Asset Investment Corp 6.625% Notes due 2023
AIXG,"Aixtron SE - American Depositary Shares, each representing one Ordinary Share"
AIY,Apollo Investment Corporation 6.875% Senior Notes due 2043
AIZ,"Assurant, Inc. Common Stock"
AJB,Safety First Trust Safety First Trust Certificate on S&P 500
AJG,Arthur J. Gallagher & Co. Common Stock
AKAM,"Akamai Technologies, Inc. - Common Stock"
AKAO,"Achaogen, Inc. - Common Stock"
AKER,Akers Biosciences Inc - Common Stock
AKG,Asanko Gold Inc.
AKP,Alliance California Municipal Income Fund Inc
AKR,Acadia Realty Trust Common Stock
AKRX,"Akorn, Inc. - Common Stock"
AKS,AK Steel Holding Corporation Common Stock
AL,Air Lease Corporation Class A Common Stock
ALB,Albemarle Corporation Common Stock
ALCO,"Alico, Inc. - Common Stock"
ALCS,"ALCO Stores, Inc. - Common Stock"
ALD,WisdomTree Asia Local Debt Fund ETF
ALDW,"Alon USA Partners, LP Common Units representing Limited Partner Interests"
ALE,"Allete, Inc."
ALEX,"Alexander & Baldwin, Inc. Common Stock"
ALFA,AlphaClone Alternative Alpha ETF
ALG,"Alamo Group, Inc. Common Stock"
ALGN,"Align Technology, Inc. - Common Stock"
ALGT,Allegiant Travel Company - Common Stock
ALIM,"Alimera Sciences, Inc. - Common Stock"
ALJ,"Alon USA Energy, Inc. common stick"
ALK,"Alaska Air Group, Inc. Common Stock"
ALKS,Alkermes plc - Ordinary Shares
ALL,Allstate Corporation (The) Common Stock
ALLB,"Alliance Bancorp, Inc. of Pennsylvania - Common Stock"
ALLE,Allegion plc Ordinary Shares
ALLT,Allot Communications Ltd. - Ordinary Shares
ALN,American Lorain Corporation Common Stock
ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock"
ALOG,Analogic Corporation - Common Stock
ALOT,"Astro-Med, Inc. - Common Stock"
ALQA,"Alliqua, Inc. - Common Stock"
ALR,Alere Inc. Common Stock
ALSK,"Alaska Communications Systems Group, Inc. - Common Stock"
ALSN,"Allison Transmission Holdings, Inc. Common Stock"
ALTI,Altair Nanotechnologies Inc. - Common Stock
ALTL,RBS US Large Cap Alternator Exchange Traded Note
ALTR,Altera Corporation - Common Stock
ALTV,Alteva
ALU,Alcatel-Lucent Common Stock
ALV,"Autoliv, Inc. Common Stock"
ALX,"Alexander's, Inc. Common Stock"
ALXA,"Alexza Pharmaceuticals, Inc. - Common Stock"
ALXN,"Alexion Pharmaceuticals, Inc. - Common Stock"
AMAG,"AMAG Pharmaceuticals, Inc. - Common Stock"
AMAP,AutoNavi Holdings Limited - ADS representing 4 shares of Common Stock
AMAT,"Applied Materials, Inc. - Common Stock"
AMBA,"Ambarella, Inc. - Ordinary Shares"
AMBC,"Ambac Financial Group, Inc. - Common Stock"
AMBI,Ambit Biosciences Corporation - Common Stock
AMBO,Ambow Education Holding Ltd. American Depository Shares (Each representing two Class A Ordinary Shares)
AMBT,Ambient Corporation - Common Stock
AMC,"AMC Entertainment Holdings, Inc. Class A Common Stock"
AMCC,Applied Micro Circuits Corporation - Common Stock
AMCF,Andatee China Marine Fuel Services Corporation - Common Stock
AMCN,"AirMedia Group Inc - American Depositary Shares, each representing two ordinary shares"
AMCO,"Armco Metals Holdings, Inc. Common Stock"
AMCX,AMC Networks Inc. - Class A Common Stock
AMD,"Advanced Micro Devices, Inc. Common Stock"
AMDA,Amedica Corporation - Common Stock
AME,"AMETEK, Inc."
AMED,Amedisys Inc - Common Stock
AMG,"Affiliated Managers Group, Inc. Common Stock"
AMGN,Amgen Inc. - Common Stock
AMH,American Homes 4 Rent Common Shares of Beneficial Interest
AMIC,American Independence Corp. - Common Stock
AMID,"American Midstream Partners, LP Common Units representing Limited Partner Interests"
AMJ,JPMorgan Chase Capital XVI JP Morgan Alerian MLP ETN
AMKR,"Amkor Technology, Inc. - Common Stock"
AMLP,Alerian MLP ETF
AMNB,"American National Bankshares, Inc. - Common Stock"
AMOT,"Allied Motion Technologies, Inc. - Common Stock"
AMOV,"America Movil, S.A.B. de C.V. - American Depositary Shares, each representing 20 A Shares"
AMP,"Ameriprise Financial, Inc. Common Stock"
AMPE,"Ampio Pharmaceuticals, Inc."
AMPS,iShares Utilities Bond ETF
AMRB,American River Bankshares - Common Stock
AMRC,"Ameresco, Inc. Class A Common Stock"
AMRE,"AmREIT, Inc. Common stock"
AMRI,"Albany Molecular Research, Inc. - Common Stock"
AMRK,"A-Mark Precious Metals, Inc. - Common Stock"
AMRN,"Amarin Corporation plc - American Depositary Shares, each representing one Ordinary Share"
AMRS,"Amyris, Inc. - Common Stock"
AMS,American Shared Hospital Services Common Stock
AMSC,American Superconductor Corporation - Common Stock
AMSF,"AMERISAFE, Inc. - Common Stock"
AMSG,Amsurg Corp. - Common Stock
AMT,American Tower Corporation (REIT) Common Stock
AMTD,TD Ameritrade Holding Corporation Common Stock
AMTG,"Apollo Residential Mortgage, Inc. Common Stock"
AMU,ETRACS Alerian MLP Index ETN
AMWD,American Woodmark Corporation - Common Stock
AMX,"America Movil, S.A.B. de C.V. American Depository Receipt Series L"
AMZG,American Eagle Energy Corporation.  Common Stock
AMZN,"Amazon.com, Inc. - Common Stock"
AN,"AutoNation, Inc. Common Stock"
ANAC,"Anacor Pharmaceuticals, Inc. - Common Stock"
ANAD,"ANADIGICS, Inc. - Common Stock"
ANAT,American National Insurance Company - Common Stock
ANCB,Anchor Bancorp - Common Stock
ANCI,American Caresource Holdings Inc - Common Stock
ANCX,Access National Corporation - Common Stock
AND,Global X FTSE Andean 40 ETF
ANDE,"The Andersons, Inc. - Common Stock"
ANF,Abercrombie & Fitch Company Common Stock
ANFI,Amira Nature Foods Ltd Ordinary Shares
ANGI,"Angie's List, Inc. - Common Stock"
ANGL,Market Vectors Fallen Angel High Yield Bond
ANGO,"AngioDynamics, Inc. - Common Stock"
ANH,Anworth Mortgage Asset Corporation Common Stock
ANIK,Anika Therapeutics Inc. - Common Stock
ANIP,"ANI Pharmaceuticals, Inc. - Common Stock"
ANN,ANN INC. Common Stock
ANR,"Alpha Natural Resources, inc. comm stock"
ANSS,"ANSYS, Inc. - Common Stock"
ANTH,"Anthera Pharmaceuticals, Inc. - Common Stock"
ANV,Allied Nevada Gold Corp.
ANW,Aegean Marine Petroleum Network Inc. Common Stock
AOA,iShares Aggressive Allocation ETF
AOD,Alpine Total Dynamic Dividend Fund Common Stock
AOI,"Alliance One International, Inc. Common Stock"
AOK,iShares Conservative Allocation ETF
AOL,AOL Inc. AOL Inc. Common Stock
AOM,iShares Moderate Allocation ETF
AON,Aon plc Class A Ordinary Shares (UK)
AOR,iShares Growth Allocation ETF
AOS,A.O. Smith Corporation Common Stock
AOSL,Alpha and Omega Semiconductor Limited - Common Shares
AP,Ampco-Pittsburgh Corporation Common Stock
APA,Apache Corporation Common Stock
APAM,Artisan Partners Asset Management Inc. Class A Common Stock
APB,"Asia Pacific Fund, Inc. (The)"
APC,Anadarko Petroleum Corporation Common Stock
APD,"Air Products and Chemicals, Inc. Common Stock"
APEI,"American Public Education, Inc. - Common Stock"
APF,"Morgan Stanley Asia-Pacific Fund, Inc."
APH,Amphenol Corporation Common Stock
API,"Advanced Photonix, Inc. Class A Common Stock"
APL,"Atlas Pipeline Partners, L.P. Common Units, No Par Value"
APO,"Apollo Global Management, LLC Class A Common Shares Representing Class A Limitied Liability Company Interests"
APOG,"Apogee Enterprises, Inc. - Common Stock"
APOL,"Apollo Education Group, Inc. - Class A Common Stock"
APP,American Apparel Inc Common Stock
APPY,"Venaxis, Inc. - Common Stock"
APRI,"Apricus Biosciences, Inc - Common Stock"
APSA,"Alto Palermo S.A. - American Depository Shares, each representing forty shares of Common Stock"
APT,"Alpha Pro Tech, Ltd. Common Stock"
APTS,"Preferred Apartment Communities, Inc. Common Stock"
APU,"AmeriGas Partners, L.P. Common Stock"
APWC,"Asia Pacific Wire & Cable Corporation Limited - Common shares, Par value .01 per share"
AQQ,"American Spectrum Realty, Inc. Common Stock"
AQU,Aquasition Corp. - Common Stock
AQXP,"Aquinox Pharmaceuticals, Inc. - Common Stock"
AR,Antero Resources Corporation Common Stock
ARAY,Accuray Incorporated - Common Stock
ARC,"ARC Document Solutions, Inc. Common Stock"
ARCC,Ares Capital Corporation - Closed End Fund
ARCI,"Appliance Recycling Centers of America, Inc. - Common Stock"
ARCO,Arcos Dorados Holdings Inc. Class A Shares
ARCP,"American Realty Capital Properties, Inc. - Common Stock"
ARCW,"ARC Group Worldwide, Inc. - Common Stock"
ARCX,Arc Logistic Partners LP Common Units representing limited partner interest
ARDC,"Ares Dynamic Credit Allocation Fund, Inc. Common Shares"
ARE,"Alexandria Real Estate Equities, Inc. Common Stock"
AREX,Approach Resources Inc. - Common Stock
ARG,"Airgas, Inc. Common Stock"
ARGS,"Argos Therapeutics, Inc. - Common Stock"
ARGT,Global X FTSE Argentina 20 ETF
ARI,"Apollo Commercial Real Estate Finance, Inc"
ARIA,"ARIAD Pharmaceuticals, Inc. - Common Stock"
ARII,"American Railcar Industries, Inc. - Common Stock"
ARIS,"ARI Network Services, Inc. - Common Stock"
ARKR,Ark Restaurants Corp. - Common Stock
ARL,"American Realty Investors, Inc. Common Stock"
ARLP,"Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests"
ARMF,"Ares Multi-Strategy Credit Fund, Inc. Common Stock"
ARMH,ARM Holdings plc - American Depositary Shares each representing 3 Ordinary Shares
ARMK,ARAMARK Holdings Corporation Common Stock
ARN,Ares Capital Corporation 7.00% Senior Notes due 2022
ARNA,"Arena Pharmaceuticals, Inc. - Common Stock"
ARO,Aeropostale Inc Common Stock
AROW,Arrow Financial Corporation - Common Stock
ARP,"Atlas Resource Partners, L.P. Common Units representing Limited Partner Interests"
ARPI,"American Residential Properties, Inc. Common Stock"
ARQL,"ArQule, Inc. - Common Stock"
ARR,"ARMOUR Residential REIT, Inc."
ARRS,"ARRIS Group, Inc. - Common Stock"
ARRY,Array BioPharma Inc. - Common Stock
ARSD,Arabian American Development Company Common Stock
ARTC,ArthroCare Corporation - Common Stock
ARTW,"Art's-Way Manufacturing Co., Inc. - Common Stock"
ARTX,Arotech Corporation - Common Stock
ARU,Ares Capital Corporation 5.875% Senior Notes due 2022
ARUN,"Aruba Networks, Inc. - Common Stock"
ARW,"Arrow Electronics, Inc. Common Stock"
ARWR,Arrowhead Research Corporation - Common Stock
ARY,Ares Capital Corporation 7.75% Senior Notes due 2040
ASA,ASA  Gold and Precious Metals Limited
ASBB,"ASB Bancorp, Inc. - Common Stock"
ASBC,Associated Banc-Corp - Common Stock
ASBI,Ameriana Bancorp - Common Stock
ASC,Ardmore Shipping Corporation Common Stock
ASDR,VelocityShares Emerging Asia DR ETF
ASEA,Global X FTSE ASEAN 40 ETF
ASEI,"American Science and Engineering, Inc. - Common Stock"
ASFI,"Asta Funding, Inc. - Common Stock"
ASG,"Liberty All-Star Growth Fund, Inc."
ASGN,"On Assignment, Inc. Common Stock"
ASH,Ashland Inc. (NEW) Common Stock
ASHR,db X-Trackers Harvest CSI 300 China A-Shares Fund
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada)
ASMI,ASM International N.V. - Common Shares
ASML,ASML Holding N.V. - ADS represents 1 ordinary share
ASNA,"Ascena Retail Group, Inc. - Common Stock"
ASP,American Strategic Income Portfolio
ASPS,Altisource Portfolio Solutions S.A. - Common Stock
ASPX,"Auspex Pharmaceuticals, Inc. - Common Stock"
ASR,"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock"
ASRV,AmeriServ Financial Inc. - Common Stock
ASTC,Astrotech Corporation - Common Stock
ASTE,"Astec Industries, Inc. - Common Stock"
ASTI,"Ascent Solar Technologies, Inc. - Common Stock"
ASTM,"Aastrom Biosciences, Inc. - Common Stock"
ASUR,Asure Software Inc - Common Stock
ASX,"Advanced Semiconductor Engineering, Inc. Common Stock"
ASYS,"Amtech Systems, Inc. - Common Stock"
AT,Atlantic Power Corporation Ordinary Shares (Canada)
ATAI,"ATA Inc. - American Depositary Shares, each representing two common shares"
ATAX,"America First Multifamily Investors, L.P. - Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests"
ATE,Advantest Corporation (Kabushiki Kaisha Advantest) ADS American Depositary Shares
ATEA,"Astea International, Inc. - Common Stock"
ATEC,"Alphatec Holdings, Inc. - Common Stock"
ATHL,ATHLON ENERGY INC. Common Stock
ATHM,"Autohome Inc. American Depositary Shares, each representing one class A ordinary share."
ATHN,"athenahealth, Inc. - Common Stock"
ATHX,"Athersys, Inc. - Common Stock"
ATI,Allegheny Technologies Incorporated Common Stock
ATK,Alliant Techsystems Inc. Common Stock
ATL,Atlatsa Resources Corporation
ATLC,Atlanticus Holdings Corporation - Common Stock
ATLO,Ames National Corporation - Common Stock
ATLS,"Atlas Energy, L.P. Common Units"
ATMI,ATMI Inc. - Common Stock
ATML,Atmel Corporation - Common Stock
ATMP,Barclays ETN Plus Select MLP
ATNI,"Atlantic Tele-Network, Inc. - Common Stock"
ATNY,API Technologies Corp. - Common Stock
ATO,Atmos Energy Corporation Common Stock
ATOS,Atossa Genetics Inc. - Common Stock
ATR,"AptarGroup, Inc. Common Stock"
ATRC,"AtriCure, Inc. - Common Stock"
ATRI,ATRION Corporation - Common Stock
ATRM,Aetrium Incorporated - Common Stock
ATRO,Astronics Corporation - Common Stock
ATRS,"Antares Pharma, Inc. - Common Stock"
ATSG,"Air Transport Services Group, Inc - Common Stock"
ATTU,Attunity Ltd. - Ordinary Shares
ATU,Actuant Corporation Common Stock
ATV,"Acorn International, Inc. ADS"
ATVI,"Activision Blizzard, Inc - Common Stock"
ATW,"Atwood Oceanics, Inc. Common Stock"
AU,AngloGold Ashanti Limited Common Stock
AUBN,"Auburn National Bancorporation, Inc. - Common Stock"
AUD,Pimco Australia Bond Index Exchange-Traded Fund ETF
AUDC,AudioCodes Ltd. - Ordinary Shares
AUMN,Golden Minerals Company Common Stock
AUNZ,WisdomTree Australia New Zealand Debt Fund
AUO,AU Optronics Corp American Depositary Shares
AUQ,AuRico Gold Inc. Ordinary Shares
AUSE,WisdomTree Australia Dividend Index
AUXL,"Auxilium Pharmaceuticals, Inc. - Common Stock"
AUY,Yamana Gold Inc. Ordinary Shares (Canada)
AV,Aviva plc Unsponsored ADR (UK)
AVA,Avista Corporation Common Stock
AVAV,"AeroVironment, Inc. - Common Stock"
AVB,"AvalonBay Communities, Inc. Common Stock"
AVEO,"AVEO Pharmaceuticals, Inc. - Common Stock"
AVG,AVG Technologies N.V. Ordinary Shares
AVGO,Avago Technologies Limited - Ordinary Shares
AVH,Avianca Holdings S.A. American Depositary Shares (Each representing 8 preferred Shares)
AVHI,"A V Homes, Inc. - Common Stock"
AVIV,"Aviv REIT, Inc. Common Stock"
AVK,Advent Claymore Convertible Securities and Income Fund
AVL,"Avalon Rare Metals, Inc. Ordinary Shares (Canada)"
AVNR,"Avanir Pharmaceuticals, Inc. - Class A Common Stock"
AVNW,"Aviat Networks, Inc. - Common Stock"
AVP,"Avon Products, Inc. Common Stock"
AVT,"Avnet, Inc. Common Stock"
AVV,Aviva plc Subordinated Capital Securities due 2041
AVX,AVX Corporation Common Stock
AVY,Avery Dennison Corporation Common Stock
AWAY,"HomeAway, Inc. - Common Stock"
AWF,Alliancebernstein Global High Income Fund
AWH,"Allied World Assurance Company Holdings, AG (Switzerland)"
AWI,Armstrong World Industries Inc Common Stock
AWK,"American Water Works Company, Inc. Common Stock"
AWP,Alpine Global Premier Properties Fund Alpine Global Premier Properties Fund Common Shares of Beneficial Interest
AWR,American States Water Company Common Stock
AWRE,"Aware, Inc. - Common Stock"
AWX,Avalon Holdings Corporation Common Stock
AXAS,Abraxas Petroleum Corporation - Common Stock
AXDI,iShares MSCI ACWI ex US Consumer Discretionary ETF
AXDX,"Accelerate Diagnostics, Inc. - Common Stock"
AXE,Anixter International Inc. Common Stock
AXEN,iShares MSCI ACWI ex US Energy ETF
AXFN,iShares MSCI ACWI ex US Financials Sector Index Fund
AXGN,"AxoGen, Inc. - Common Stock"
AXHE,iShares MSCI ACWI ex US Healthcare ETF
AXID,iShares MSCI ACWI ex US Industrials ETF
AXIT,iShares MSCI ACWI ex US Information Technology ETF
AXJL,WisdomTree Asia Pacific ex-Japan Total Dividend Fund
AXJS,iShares MSCI All Country Asia ex Japan Small Cap Index Fund
AXL,"American Axle & Manufacturing Holdings, Inc. Common Stock"
AXLL,Axiall Corporation Common Stock
AXMT,iShares MSCI ACWI ex US Materials ETF
AXN,"Aoxing Pharmaceutical Company, Inc. New Common Stock"
AXP,American Express Company Common Stock
AXR,AMREP Corporation Common Stock
AXS,Axis Capital Holdings Limited Common Stock
AXSL,iShares MSCI ACWI ex US Consumer Staples ETF
AXTE,iShares MSCI ACWI ex US Telecommunication Services ETF
AXTI,AXT Inc - Common Stock
AXU,Alexco Resource Corp Common Shares (Canada)
AXUT,iShares MSCI ACWI ex US Utilities ETF
AXX,Alderon Iron Ore Corp. Ordinary Shares (Canada)
AYI,Acuity Brands Inc (Holding Company)
AYN,Alliance New York Municipal Income Fund Inc
AYR,Aircastle Limited Common Stock
AYT,iPath GEMS Asia 8 ETN
AZC,Augusta Resource Corporation Ordinary Shares (Canada)
AZIA,Global X Central Asia & Mongolia Index ETF
AZN,Astrazeneca PLC Common Stock
AZO,"AutoZone, Inc. Common Stock"
AZPN,"Aspen Technology, Inc. - Common Stock"
AZZ,AZZ Incorporated Common Stock
B,"Barnes Group, Inc. Common Stock"
BA,Boeing Company (The) Common Stock
BAA,BANRO CORPORATION Ordinary Shares
BAB,PowerShares Build America Bond Portfolio
BABS,SPDR Nuveen Barclays Build America Bond ETF
BABY,Natus Medical Incorporated - Common Stock
BABZ,Pimco Build America Bond Exchange-Traded Fund
BAC,Bank of America Corporation Common Stock
BAF,BlackRock Municipal Income Investment Quality Trust
